Source,Target,Amount,LND1,elapsed_mpc_sec,elapsed_nompc_sec,elapsed_diff_sec
9003,4024,6,"[[9003, 8768, 6274, 108, 4024], np.float64(0.0183), np.int64(348), 5, 'Failure']",0.4199226249475032,0.3982806659769267,0.021641958970576525
4039,2401,44,"[[4039, 233, 12325, 1559, 867, 2400, 2401], np.float64(1.00325), np.int64(228), 7, 'Failure']",0.2497775419615209,0.2507316251285374,-0.0009540831670165062
12268,5447,760,"[[12268, 7, 2, 4822, 5447], np.float64(0.076), np.int64(232), 5, 'Success']",0.19846466602757573,0.21472133416682482,-0.016256668139249086
3636,18,4877,"[[3636, 32, 18], np.float64(3.43362), np.int64(184), 3, 'Success']",0.2528527081012726,0.2626684170681983,-0.00981570896692574
7498,6800,23275,"[[7498, 6274, 2, 6800], np.float64(72.15948), np.int64(202), 4, 'Success']",0.6075324171688408,0.6303605840075761,-0.022828166838735342
12221,11482,178177,"[[12221, 57, 84, 11482], np.float64(13.227979999999999), np.int64(120), 4, 'Failure']",0.29513691598549485,0.44521812512539327,-0.15008120913989842
6897,42,1181599,"[[6897, 175, 42], np.float64(67.23794), np.int64(80), 3, 'Success']",0.08456729096360505,0.038514000130817294,0.04605329083278775
233,915,15690349,"[[233, 915], 0, np.int64(34), 2, 'Failure']",0.0002727499231696129,0.010556499939411879,-0.010283750016242266
12209,8431,4,"[[12209, 609, 8431], np.float64(0.0004), np.int64(80), 3, 'Failure']",0.01909674983471632,0.009767165873199701,0.009329583961516619
5286,7736,88,"[[5286, 314, 2223, 6274, 7736], np.float64(0.002), np.int64(368), 5, 'Failure']",0.10141083295457065,0.07076491694897413,0.03064591600559652
